device_id,paper_id,technology_family,detector_class,material_family,material_composition,device_architecture,device_stack,active_area_cm2,ligand_exchange_status,ligand_exchange_type,ligand_exchange_chemicals,native_ligands,ligand_exchange_target,ligand_exchange_conditions,ligand_exchange_source_location,device_notes
kim-2026-inas-shape-device,kim-2026-inas-shape-engineering,cqd,photodiode,InAs,Halide-passivated shape-engineered InAs CQD ink,Vertical CQD photodiode,ITO / SnO2 nanocrystals / InAs CQD ink / MTA-InAs CQDs / MoO3 / Au,0.0314,reported,other,indium(III) bromide (InBr3),,,Automatic text extraction identified the exchange chemistry and process; consult the cited source for recipe details.,PDF page 6 | PDF page 6 | PDF page 2,The principal InAs CQD absorber is approximately 120 nm thick; the MTA-InAs layer is an electron-blocking interlayer.
pi-2026-agbis2-mxene-device,pi-2026-agbis2-mxene,cqd,photodiode,AgBiS2,TMAI-exchanged AgBiS2 CQDs with a ZnO/MXene electron-transport bilayer,Vertical CQD photodiode,ITO / ZnO / MXene / AgBiS2 CQDs (~500 nm) / PTAA / MoO3 / Ag,,reported,solid_state,tetramethylammonium iodide (TMAI),,,Automatically extracted reported parameters: 30 s; toluene; methanol; layer-by-layer.,PDF page 3 | PDF page 3 | PDF page 2,Optimized device fabricated using a 0.05 mg/mL MXene dispersion; the single-pixel active area is not reported.
qin-2023-hgte-fpa-device,qin-2023-hgte-planar-pn,cqd,photodiode,HgTe,CdCl2-treated HgTe CQD film with in situ electric-field-activated lateral doping,Planar p-n CQD photodiode focal-plane array,Si CMOS ROIC / interdigitated planar electrodes / spin-coated HgTe CQD film,,source_unavailable,solid_state,cadmium chloride (CdCl2),,CQD film,"Existing curated device metadata indicates a ligand or surface treatment, but the source set was unavailable for method verification: CdCl2-treated HgTe CQD film with in situ electric-field-activated lateral doping",,A 640 x 512 array with 15 um pixel pitch; system-level noise includes detector pixels ROIC and connecting wires.
deng-2026-pbs-1500-device,deng-2026-pbs-bifunctional,cqd,photodiode,PbS,n-PbS CQD absorber with EDT-treated p-PbS CQD layer,Vertical CQD photodiode,glass / ITO / ZnO / n-PbS CQDs (50 nm) / EDT-treated p-PbS CQDs (50 nm) / Au (100 nm),0.0176715,reported,solid_state,"1,2-ethanedithiol (EDT)",,,Automatically extracted reported parameters: 0.02vol%; 30 s; 2500 rpm; methanol; spin-coated; spin-coating.,PDF page 8 | PDF page 8 | PDF page 8,Circular device defined by a 1500 um-diameter top contact.
deng-2026-pbs-50-device,deng-2026-pbs-bifunctional,cqd,photodiode,PbS,n-PbS CQD absorber with EDT-treated p-PbS CQD layer,Vertical CQD photodiode,glass / ITO / ZnO / n-PbS CQDs (50 nm) / EDT-treated p-PbS CQDs (50 nm) / Au (100 nm),0.000019635,reported,solid_state,"1,2-ethanedithiol (EDT)",,,Automatically extracted reported parameters: 0.02vol%; 30 s; 2500 rpm; methanol; spin-coated; spin-coating.,PDF page 8 | PDF page 8 | PDF page 8,Circular device defined by a 50 um-diameter top contact.
leemans-2022-inasp-1140-device,leemans-2022-inasp-swir,cqd,photodiode,"In(As,P)","1140 nm band-edge n-type In(As,P) CQDs",Vertical CQD photodiode,"ITO / NiO / n-In(As,P) CQDs (~120 nm) / Nb:TiO2 nanoparticles / Al",0.13,reported,solution_phase,chloride,trioctylphosphine (TOP),,Automatically extracted reported parameters: butylamine; spincoated; spincoating; phase transfer.,PDF page 3 | PDF page 6 | PDF page 7,Device from the 1140 nm band-edge CQD series.
leemans-2022-inasp-1270-device,leemans-2022-inasp-swir,cqd,photodiode,"In(As,P)","1270 nm band-edge n-type In(As,P) CQDs",Vertical CQD photodiode,"ITO / NiO / n-In(As,P) CQDs (~120 nm) / Nb:TiO2 nanoparticles / Al",0.13,reported,solution_phase,chloride,trioctylphosphine (TOP),,Automatically extracted reported parameters: butylamine; spincoated; spincoating; phase transfer.,PDF page 3 | PDF page 6 | PDF page 7,Device from the 1270 nm band-edge CQD series.
leemans-2022-inasp-1400-device,leemans-2022-inasp-swir,cqd,photodiode,"In(As,P)","1400 nm band-edge n-type In(As,P) CQDs",Vertical CQD photodiode,"ITO / NiO / n-In(As,P) CQDs (~120 nm) / Nb:TiO2 nanoparticles / Al",0.13,reported,solution_phase,chloride,trioctylphosphine (TOP),,Automatically extracted reported parameters: butylamine; spincoated; spincoating; phase transfer.,PDF page 3 | PDF page 6 | PDF page 7,Device from the 1400 nm band-edge CQD series.
huang-2026-pbs-hsc60-device,huang-2026-pbs-hot-spin,cqd,photodiode,PbS,PbS CQDs with a halide/amine-exchanged intrinsic absorber and PbS@EDT hole-transport layer,p-i-n CQD photodiode,glass / FTO / ZnO / intrinsic halide-exchanged PbS CQDs (~200 nm) / PbS@EDT / Au,,source_unavailable,other,"1,2-ethanedithiol (EDT)",,CQD absorber | hole-transport layer,"Existing curated device metadata indicates a ligand or surface treatment, but the source set was unavailable for method verification: PbS CQDs with a halide/amine-exchanged intrinsic absorber and PbS@EDT hole-transport layer",,Champion H-SC@60 °C device with approximately 0.947 nm absorber-film RMS roughness. The 60 °C value is the spin-coating temperature rather than the detector operating temperature.
device-05e0a265ba8c-1,paper-05e0a265ba8c,cqd,photodiode,PbS,PbS-PbI2 CQD absorber with PbS-MPA hole-transport layer,p-i-n PbS CQD infrared photodiode with CST-ZnO and photomultiplication,ITO/CST-ZnO/PbS-PbI2 CQD/PbS-MPA/Au (100 nm),0.05,reported,solid_state,3-mercaptopropionic acid (MPA) | lead(II) iodide (PbI2),,,Automatically extracted reported parameters: 3 s; 10 min; 80 °C; 2000 rpm.,PDF page 3 | PDF page 6,CST-ZnO champion device; 5 mm² area. Both rows measure this device at different wavelengths.
device-ffcc0c4eac37-1,paper-ffcc0c4eac37,perovskite,photodiode,CsPbI2Br,CsPbI2Br,vacuum-deposited p-i-n photodiode with 40 nm TiO2 ETL,glass/ITO/NiOx (15 nm)/CsPbI2Br (~300 nm)/TiO2 (40 nm)/Al (100 nm),0.125,not_applicable,,,,,,,Sample 40TiO2; D* after biasing at -2 V for 300 s under 620 nm illumination.
device-ffcc0c4eac37-2,paper-ffcc0c4eac37,perovskite,photodiode,CsPbI2Br,CsPbI2Br,vacuum-deposited p-i-n photodiode with 20 nm C60/20 nm TiO2 ETL,glass/ITO/NiOx (15 nm)/CsPbI2Br (~300 nm)/C60 (20 nm)/TiO2 (20 nm)/Al (100 nm),0.125,not_applicable,,,,,,,Sample 20C60-20TiO2; D* after biasing at -2 V for 300 s under 620 nm illumination.
device-c533f3ba2a4a-1,paper-c533f3ba2a4a,perovskite,photodiode,(BA)2MA4Pb5I16,(BA)2MA4Pb5I16 (BA n=5),p-i-n quasi-2D photodiode with perpendicular-oriented graded absorber,glass/ITO (135 nm)/SiN perimeter/PTAA:polyTPD/BA quasi-2D perovskite/C60 (20 nm)/BCP (8 nm)/Ag (100 nm),0.01,not_applicable,,,,,,,BA n=5; measured-noise D* at -0.2 V over a 1–100 Hz noise interval.
device-c533f3ba2a4a-2,paper-c533f3ba2a4a,perovskite,photodiode,(BA)2MA3Pb4I13,(BA)2MA3Pb4I13 (BA n=4),p-i-n quasi-2D photodiode with perpendicular-oriented graded absorber,glass/ITO (135 nm)/SiN perimeter/PTAA:polyTPD/BA quasi-2D perovskite/C60 (20 nm)/BCP (8 nm)/Ag (100 nm),0.01,not_applicable,,,,,,,BA n=4; measured-noise D* at -0.2 V over a 1–100 Hz noise interval.
dou-2014-pd3-device,dou-2014-perovskite-high-detectivity,perovskite,photodiode,CH3NH3PbI3-xClx,CH3NH3PbI3-xClx,inverted p-i-n perovskite photodiode,glass / ITO / PEDOT:PSS (~30 nm) / CH3NH3PbI3-xClx (~300 nm) / PCBM / PFN (~5 nm) / Al (100 nm),,not_applicable,,,,,,,PD3 with PFN hole-blocking layer; active area for the reported zero-bias D* is not unambiguously matched between the 0.10 and 0.010 cm2 masks.
sutherland-2015-i3-device,sutherland-2015-perovskite-interface,perovskite,photodiode,CH3NH3PbI3,CH3NH3PbI3,n-i-p perovskite photodiode with Al2O3/PCBM interface stack,glass / FTO (200 nm) / TiO2 (50 nm) / Al2O3 (1 nm) / PCBM (10 nm) / MAPbI3 (250 nm) / spiro-OMeTAD (200 nm) / Au (100 nm) / Ag (100 nm),0.07,not_applicable,,,,,,,I3 champion device with the lowest measured noise and maximum reported D*.
device-00f55628795b-1,paper-00f55628795b,perovskite,photodiode,Cs0.2FA0.8PbI2.93Cl0.07,Cs0.2FA0.8PbI2.93Cl0.07,inverted p-i-n photodiode (Control),glass (1.1 mm)/ITO (330 nm)/NiO (30 nm)/Cs0.2FA0.8PbI2.93Cl0.07 (450 nm)/PCBM (30 nm)/BCP (10 nm)/Cu (100 nm),,not_applicable,,,,,,,Control p-i-n device without P(VDF-TrFE).
device-00f55628795b-2,paper-00f55628795b,perovskite,photodiode,Cs0.2FA0.8PbI2.93Cl0.07,Cs0.2FA0.8PbI2.93Cl0.07,inverted p-i-n photodiode (Bulk),glass (1.1 mm)/ITO (330 nm)/NiO (30 nm)/Cs0.2FA0.8PbI2.93Cl0.07 (450 nm)/PCBM (30 nm)/BCP (10 nm)/Cu (100 nm),,not_applicable,,,,,,,P(VDF-TrFE) incorporated in the perovskite absorber bulk.
device-00f55628795b-3,paper-00f55628795b,perovskite,photodiode,Cs0.2FA0.8PbI2.93Cl0.07,Cs0.2FA0.8PbI2.93Cl0.07,inverted p-i-n photodiode (Bulk/n-side),glass (1.1 mm)/ITO (330 nm)/NiO (30 nm)/Cs0.2FA0.8PbI2.93Cl0.07 (450 nm)/PCBM (30 nm)/BCP (10 nm)/Cu (100 nm),,not_applicable,,,,,,,P(VDF-TrFE) incorporated in the absorber bulk and at the absorber/electron-transport interface.
device-b0fdb518c75e-1,paper-b0fdb518c75e,perovskite,photodiode,FA0.66MA0.34Pb0.5Sn0.5I3,FA0.66MA0.34Pb0.5Sn0.5I3,inverted p-i-n near-infrared photodiode,glass/ITO/PTAA:poly-TPD/FA0.66MA0.34Pb0.5Sn0.5I3/C60/BCP/Ag,0.01,not_applicable,,,,,,,Champion low-dark-current device; active area reported as 1 mm².
kim-2022-trication-fiber-htm-device,kim-2022-trication-nanofibers,perovskite,photodiode,Cs0.06FA0.79MA0.15Pb(I0.85Br0.15)3,Cs0.06FA0.79MA0.15Pb(I0.85Br0.15)3,vertical photomultiplication photoconductor (curator-approved scope exception),glass/FTO/PCBM/electrospun Cs0.06FA0.79MA0.15Pb(I0.85Br0.15)3 nanofibers infiltrated with Spiro-OMeTAD:LiTFSI/Au,0.002,not_applicable,,,,,,,"Fiber/HTM configuration. The paper reports Ohmic contacts, trap-mediated photomultiplication, and greater-than-unity EQE; included by explicit curator directive as a cautionary detector-community example despite the atlas photoconductor exclusion."
li-2020-perovskite-organic-bhj-device,li-2020-perovskite-organic-bhj,perovskite,photodiode,MAPbI3,MAPbI3 with PTB7-Th:F8IC,vertical broadband photodiode,ITO/PTAA/MAPbI3/PTB7-Th:F8IC/C60/BCP/Cu,0.044,not_applicable,,,,,,,Standard 4.4 mm2 device used for the curated detectivity and matching 145 ns transient-response result.
yang-2019-cs2agbibr6-device,yang-2019-cs2agbibr6,perovskite,photodiode,Cs2AgBiBr6,Cs2AgBiBr6,vertical photodiode,glass/ITO/SnO2/Cs2AgBiBr6/TFB/MoO3/Ag,0.0725,not_applicable,,,,,,,"Optimized 10% DMF device. Figure 2a labels the top electrode Ag, while the experimental prose describes an 80 nm gold layer; the schematic stack is retained and the source conflict is preserved here."
chang-2025-pbse-ag1-device,chang-2025-pbse-wide-depletion,cqd,photodiode,PbSe,PbSe-halide / 1% Ag-doped PbS-EDT,vertical p-n eSWIR photodiode,glass / ITO / ZnO / PbSe-halide / 1% Ag-doped PbS-EDT / MoOx / Ag,,reported,other,"1,2-ethanedithiol (EDT)",trioctylphosphine (TOP),,Automatic text extraction identified the exchange chemistry and process; consult the cited source for recipe details.,PDF page 4 | PDF page 4 | PDF page 3,Optimized device with a large-size PbSe CQD active layer (2.47 µm first excitonic absorption peak) and 1% Ag-doped PbS-EDT p-type functional layer; active area was not reported in the supplied main article.
yu-2025-hgte-au-device,yu-2025-hgte-gold-doping,cqd,photodiode,HgTe,Se-capped HgTe CQD absorber with an Au-doped HgTe CQD hole-transport layer,p-on-n vertical CQD photodiode,quartz / ITO / Bi2S3 / Se:HgTe CQDs / Au:HgTe CQDs / Au,0.0782,reported,solid_state,"mercury(II) chloride (HgCl2)|1,2-ethanedithiol (EDT)|hydrochloric acid (HCl)",trioctylphosphine (TOP),Se:HgTe CQD absorber|Au:HgTe CQD hole-transport layer,Layer-by-layer solid-state exchange using HgCl2 and EDT/HCl treatments during CQD-film deposition.,"Main article PDF p. 8, Experimental Section",Champion Au-doped device; active area used in the detectivity calculation is 0.0782 cm2.
di-2024-mxene-pbs-device,di-2024-mxene-pbs-photodiode,cqd,photodiode,PbS,Halide-passivated PbS CQD absorber with a PbS-EDT hole-transport layer on Ti3C2Tx MXene,vertical MXene/PbS p-n NIR photodiode,Ti3C2Tx MXene / PbS-EDT / PbS-I / ZnO / Au,2.5e-5,reported,mixed,"lead(II) iodide (PbI2)|lead(II) bromide (PbBr2)|ammonium acetate (NH4Ac)|1,2-ethanedithiol (EDT)",oleic acid (OA),PbS-I absorber|PbS-EDT hole-transport layer,Solution-phase PbI2/PbBr2/NH4Ac exchange in DMF for the PbS-I absorber followed by solid-state EDT exchange for the hole-transport layer.,"Main article PDF p. 7, Experimental Section",Optimized Ti3C2Tx MXene-interface photodiode; top-illumination active area is 0.0025 mm2 (2.5e-5 cm2).
huangfu-2025-passivated-device,huangfu-2025-2d3d-facs-photodiode,perovskite,photodiode,FA0.95Cs0.05PbI3,FA0.95Cs0.05PbI3 with a 3F-PEAI-derived 2D perovskite capping layer (n ≥ 3),inverted p-i-n 2D/3D perovskite photodiode,glass / ITO / NiOx / FA0.95Cs0.05PbI3 / 2D perovskite (n ≥ 3) / C60 / BCP / Ag,0.02,not_applicable,,,,,,,Optimized 2D-passivated self-powered device.
zhang-2018-fapbi3-device,zhang-2018-fapbi3-photodiode,perovskite,photodiode,FAPbI3,alpha-FAPbI3,vertical rectifying perovskite photodiode,glass / ITO / TiO2 / alpha-FAPbI3 / Spiro-OMeTAD / MoO3 / Ag,0.045,not_applicable,,,,,,,Maximum-D* device retained by curator direction; lower Table 1 comparison values are excluded.
device-74024208aab5-1,paper-74024208aab5,cqd,photodiode,PbS,PbS colloidal quantum dots with colloidal atomic-ligand deposition (c-ALD) surface reconstruction,Vertical n-i-p PbS CQD photodiode,ITO/ZnO/PbS c-ALD CQD ink/PbS-EDT/Au,0.09,reported,mixed,"lead(II) iodide (PbI2)|lead(II) bromide (PbBr2)|1,2-ethanedithiol (EDT)",oleic acid (OA),absorber and hole-transport layer,Halide-exchanged CQD ink absorber with a separately deposited PbS-EDT hole-transport layer.,"PDF pages 8-9, Colloidal Quantum Dot Photodiode Fabrication",Detectivity device with 0.09 cm2 electrical area. The separately reported 7 ns fall time belongs to a different 0.01 mm2 timing device and is not attached to this record.
device-74024208aab5-2,paper-74024208aab5,cqd,photodiode,PbS,Standard PbS colloidal quantum dots without c-ALD surface reconstruction,Vertical n-i-p PbS CQD photodiode,ITO/ZnO/standard PbS CQD ink/PbS-EDT/Au,0.09,reported,mixed,"lead(II) iodide (PbI2)|lead(II) bromide (PbBr2)|1,2-ethanedithiol (EDT)",oleic acid (OA),absorber and hole-transport layer,PbS CQD ink absorber with halide ligand exchange and a separately deposited PbS-EDT hole-transport layer.,"PDF pages 8-9, Colloidal Quantum Dot Photodiode Fabrication",Standard-PbS control detectivity device with 0.09 cm2 electrical area; distinct from the c-ALD device and from the smaller timing devices.
chen-2025-pbs-meo2pacz-device,chen-2025-pbs-sam,cqd,photodiode,PbS,PbS-PbX2 absorber with PbS-EDT and MeO-2PACz hole-transport layers,Inverted vertical PbS CQD photodiode,ITO/NiOx/PbS-EDT/MeO-2PACz/PbS-PbX2/C60/PCBM/BCP/Ag,0.045,reported,mixed,"lead(II) iodide (PbI2)|lead(II) bromide (PbBr2)|1,2-ethanedithiol (EDT)|MeO-2PACz",oleic acid (OA),absorber and hole-transport layers,Solution-phase halide exchange for the absorber and solid-state EDT plus MeO-2PACz modification for the hole-transport stack.,"Main article PDF pp. 2-3, Methods",Champion MeO-2PACz device retained for measured-noise detectivity.
yan-2025-famacs-ctrl-device,yan-2025-famacs-modulation,perovskite,photodiode,FAMACs,FAMACs mixed-cation mixed-halide perovskite without molecular modulation,Inverted p-i-n perovskite photodiode,ITO/PTAA/FAMACs PVK/PCBM/BCP/Cu,,not_applicable,,,,,,,Control device; active area was only available in inaccessible Supporting Information.
yan-2025-famacs-tgti-device,yan-2025-famacs-modulation,perovskite,photodiode,FAMACs,FAMACs mixed-cation mixed-halide perovskite with PEACl interfacial modulation,Inverted p-i-n perovskite photodiode,ITO/PTAA/FAMACs PVK/PCBM/BCP/Cu,,not_applicable,,,,,,,Target I device with PEACl interfacial modulation; active area was only available in inaccessible Supporting Information.
yan-2025-famacs-tgtib-device,yan-2025-famacs-modulation,perovskite,photodiode,FAMACs,FAMACs mixed-cation mixed-halide perovskite with PEACl interfacial and MDACl2 bulk modulation,Inverted p-i-n perovskite photodiode,ITO/PTAA/FAMACs PVK/PCBM/BCP/Cu,,not_applicable,,,,,,,Target IB device with combined PEACl and MDACl2 modulation; active area was only available in inaccessible Supporting Information.
kim-2023-mapbi3-pmma-device,kim-2023-mapbi3-pmma,perovskite,photodiode,MAPbI3,MAPbI3 with cathode-side PMMA interfacial passivation,Inverted p-i-n perovskite photodiode,ITO/NiOx/MAPbI3/PMMA/PCBM60/ZnO/BCP/Al,0.06,not_applicable,,,,,,,PMMA-passivated self-powered device.
kim-2023-mapbi3-reference-device,kim-2023-mapbi3-pmma,perovskite,photodiode,MAPbI3,MAPbI3 reference without PMMA interfacial passivation,Inverted p-i-n perovskite photodiode,ITO/NiOx/MAPbI3/PCBM60/ZnO/BCP/Al,0.06,not_applicable,,,,,,,Unpassivated reference device.
zheng-2025-pixelated-array-device,zheng-2025-ultraflexible-pixelated-perovskite,perovskite,photodiode,FAPbI3-MAPbBr3,(FAPbI3)0.97(MAPbBr3)0.03 within a photocurable cinnamate-cellulose honeycomb polymer grid,Ultra-flexible 16 × 16 crossbar pixelated perovskite photodiode array,4 µm parylene / patterned ITO / PTAA / Cin-Cell-grid-pixelated (FAPbI3)0.97(MAPbBr3)0.03 / PCBM:PMMA / BCP / Ag / 4 µm parylene encapsulation,0.0001,not_applicable,,,,,,,The retained D* record uses the 100 µm × 100 µm crisscross device area. The separate 12.5 µm-pixel 2000-PPI imaging demonstrator is not assigned to this measurement.
zheng-2025-unpatterned-array-device,zheng-2025-ultraflexible-pixelated-perovskite,perovskite,photodiode,FAPbI3-MAPbBr3,Unpatterned (FAPbI3)0.97(MAPbBr3)0.03 control film,Ultra-flexible 16 × 16 crossbar unpatterned perovskite photodiode array,4 µm parylene / patterned ITO / PTAA / unpatterned (FAPbI3)0.97(MAPbBr3)0.03 / PCBM:PMMA / BCP / Ag / 4 µm parylene encapsulation,0.0001,not_applicable,,,,,,,Unpatterned control fabricated with the same 100 µm × 100 µm crisscross area as the pixelated array.
kim-2025-mapbi3-paapi-device,kim-2025-mapbi3-paapi,perovskite,photodiode,MAPbI3,MAPbI3 with a 6 nm PAA-PI interfacial layer,Inverted p-i-n self-powered perovskite photovoltaic photodiode,ITO / PEDOT:PSS / PAA-PI (6 nm) / MAPbI3 (250 nm) / PCBM60 (50 nm) / ZnO (20 nm) / BCP (12 nm) / Al (70 nm),0.06,not_applicable,,,,,,,PAA-PI sample device; active area converted from the reported 6 mm2.
kim-2025-mapbi3-reference-device,kim-2025-mapbi3-paapi,perovskite,photodiode,MAPbI3,MAPbI3 reference without the PAA-PI interfacial layer,Inverted p-i-n self-powered perovskite photovoltaic photodiode,ITO / PEDOT:PSS / MAPbI3 (250 nm) / PCBM60 (50 nm) / ZnO (20 nm) / BCP (12 nm) / Al (70 nm),0.06,not_applicable,,,,,,,Reference device without PAA-PI; active area converted from the reported 6 mm2.
mu-2025-hgte-single-device,mu-2025-hgte-barrier-imager,cqd,photodiode,HgTe,HgBr2-treated and EDT/HCl-cross-linked HgTe CQDs with a P3HT hole-transport layer,Vertical photovoltaic HgTe CQD barrier heterojunction photodiode,ITO / ZnO / HgBr2-treated HgTe CQDs / P3HT / MoO3 / Ag,0.0004,reported,solid_state,"mercury(II) bromide (HgBr2)|1,2-ethanedithiol (EDT)|hydrochloric acid (HCl)",dodecanethiol (DDT)|trioctylphosphine (TOP)|oleylamine (OAm),HgTe CQD film,"Layer-by-layer exchange: 10 mM HgBr2 in tributylphosphine/octylamine (1:30) for 10 s, IPA rinse, then EDT/HCl/IPA (1:1:50) for 10 s and IPA rinse.","Main article PDF p. 8, Experimental Section",Single-element device used for temperature-dependent blackbody characterization. The reported 0.04 mm2 area is converted to 0.0004 cm2.
mu-2025-hgte-fpa-device,mu-2025-hgte-barrier-imager,cqd,photodiode,HgTe,HgBr2-treated and EDT/HCl-cross-linked HgTe CQDs with a P3HT hole-transport layer,640 × 512 HgTe CQD barrier-heterojunction focal-plane array,ITO / ZnO / HgBr2-treated HgTe CQDs / P3HT / MoO3 / Ag,,reported,solid_state,"mercury(II) bromide (HgBr2)|1,2-ethanedithiol (EDT)|hydrochloric acid (HCl)",dodecanethiol (DDT)|trioctylphosphine (TOP)|oleylamine (OAm),HgTe CQD film,Layer-by-layer HgBr2 and EDT/HCl solid-state exchange as reported for the detector stack.,"Main article PDF p. 8, Experimental Section",Imager architecture with 640 × 512 pixels and 15 µm pitch. Pixel pitch is not treated as photosensitive active area.
kim-2025-pbs-ethanedithiol-device,kim-2025-pbs-avalanche,cqd,photodiode,PbS,"PbS CQDs treated with 1,2-ethanedithiol",Vertical ZnO/PbS CQD avalanche photodiode with kinetically pumped impact-ionization multiplication,glass / ITO (75 nm) / ZnO (30 nm) / PbS CQD (585 nm) / Au (50 nm),,reported,solid_state,"1,2-ethanedithiol (EthaneDT)",oleic acid,PbS CQD film,"Thirteen-layer layer-by-layer deposition; 0.02% w/v ligand in acetonitrile applied for 30 s per layer, followed by three acetonitrile rinses and overnight air drying.","Main article PDF p. 10, Device fabrication","EthaneDT device with 3.86 nm reported dot-to-dot spacing. The source reports a 0.15 cm2 illumination area, which is not assumed to be active area."
kim-2025-pbs-propanedithiol-device,kim-2025-pbs-avalanche,cqd,photodiode,PbS,"PbS CQDs treated with 1,3-propanedithiol",Vertical ZnO/PbS CQD avalanche photodiode with kinetically pumped impact-ionization multiplication,glass / ITO (75 nm) / ZnO (30 nm) / PbS CQD (585 nm) / Au (50 nm),,reported,solid_state,"1,3-propanedithiol (PropaneDT)",oleic acid,PbS CQD film,"Thirteen-layer layer-by-layer deposition; 0.02% w/v ligand in acetonitrile applied for 30 s per layer, followed by three acetonitrile rinses and overnight air drying.","Main article PDF p. 10, Device fabrication","PropaneDT device with 4.06 nm reported dot-to-dot spacing. The source reports a 0.15 cm2 illumination area, which is not assumed to be active area."
kim-2025-pbs-pentanedithiol-device,kim-2025-pbs-avalanche,cqd,photodiode,PbS,"PbS CQDs treated with 1,5-pentanedithiol",Vertical ZnO/PbS CQD avalanche photodiode with kinetically pumped impact-ionization multiplication,glass / ITO (75 nm) / ZnO (30 nm) / PbS CQD (585 nm) / Au (50 nm),,reported,solid_state,"1,5-pentanedithiol (PentaneDT)",oleic acid,PbS CQD film,"Thirteen-layer layer-by-layer deposition; 0.02% w/v ligand in acetonitrile applied for 30 s per layer, followed by three acetonitrile rinses and overnight air drying.","Main article PDF p. 10, Device fabrication","PentaneDT device with 4.30 nm reported dot-to-dot spacing. The source reports a 0.15 cm2 illumination area, which is not assumed to be active area."
kim-2025-pbs-octanedithiol-device,kim-2025-pbs-avalanche,cqd,photodiode,PbS,"PbS CQDs treated with 1,8-octanedithiol",Vertical ZnO/PbS CQD avalanche photodiode with kinetically pumped impact-ionization multiplication,glass / ITO (75 nm) / ZnO (30 nm) / PbS CQD (585 nm) / Au (50 nm),,reported,solid_state,"1,8-octanedithiol (OctaneDT)",oleic acid,PbS CQD film,"Thirteen-layer layer-by-layer deposition; 0.02% w/v ligand in acetonitrile applied for 30 s per layer, followed by three acetonitrile rinses and overnight air drying.","Main article PDF p. 10, Device fabrication","OctaneDT device with 5.48 nm reported dot-to-dot spacing. The source reports a 0.15 cm2 illumination area, which is not assumed to be active area."
sharma-2023-agbis2-agi-device,sharma-2023-agbis2-dual-passivation,cqd,photodiode,AgBiS2,AgI/MAI-exchanged AgBiS2 NC ink with an EDT-treated AgBiS2 graded p+ layer,n-i-p graded-junction AgBiS2 CQD photodiode,glass / ITO / ZnO (40 nm) / AgI-exchanged AgBiS2 ink (60 nm) / EDT-AgBiS2 (20 nm) / PTAA (15 nm) / MoO3 (3 nm) / Ag (120 nm),0.0314,reported,mixed,"silver iodide (AgI)|methylammonium iodide (MAI)|1,2-ethanedithiol (EDT)",oleic acid (OLA),AgBiS2 active-layer ink|AgBiS2 graded p+ layer,Solution-phase exchange used 0.3 mmol AgI and 0.3 mmol MAI in 3 mL DMF with 3 mL of 6 mg/mL OLA-capped AgBiS2 NCs for 90 s; the separate p+ layer used 0.01 vol% EDT in acetonitrile for 30 s followed by three rinses.,"Main article PDF p. 3, Sections 2.4-2.5",AgI-only control device.
sharma-2023-agbis2-dual-device,sharma-2023-agbis2-dual-passivation,cqd,photodiode,AgBiS2,AgI/MAI/AgBr/MABr-exchanged AgBiS2 NC ink with an EDT-treated AgBiS2 graded p+ layer,n-i-p graded-junction AgBiS2 CQD photodiode,glass / ITO / ZnO (40 nm) / AgI+AgBr-exchanged AgBiS2 ink (60 nm) / EDT-AgBiS2 (20 nm) / PTAA (15 nm) / MoO3 (3 nm) / Ag (120 nm),0.0314,reported,mixed,"silver iodide (AgI)|methylammonium iodide (MAI)|silver bromide (AgBr)|methylammonium bromide (MABr)|1,2-ethanedithiol (EDT)",oleic acid (OLA),AgBiS2 active-layer ink|AgBiS2 graded p+ layer,"Solution-phase exchange used 0.3 mmol AgI, 0.3 mmol MAI, 0.06 mmol AgBr, and 0.06 mmol MABr in 3 mL DMF with 3 mL of 6 mg/mL OLA-capped AgBiS2 NCs for 90 s; the separate p+ layer used 0.01 vol% EDT in acetonitrile for 30 s followed by three rinses.","Main article PDF p. 3, Sections 2.4-2.5",Dual-halometallate target device.
sanvordenker-2026-hgte-nanorod-device,sanvordenker-2026-hgte-nanorods,cqd,photoconductor,HgTe,DDT-capped branched HgTe nanorods with post-deposition EDT/HCl ligand exchange,Planar single-element photoconductor with interdigitated electrodes,Si substrate / interdigitated Au electrodes / HgTe branched-nanorod film,0.01,reported,mixed,"1-dodecanethiol (DDT)|1,2-ethanedithiol (EDT)|hydrochloric acid (HCl)",oleylamine (OAm),HgTe branched nanorods and deposited nanorod film,Solution-phase DDT exchange used 2 mL DDT in 5 mL toluene with 1 h bath sonication; the deposited film was immersed in 20:1:1 isopropanol:HCl:EDT for 30 s and dried under vacuum for 1 h.,"Main article PDF pp. 2-3, Ligand Exchange in Solution and Single-Element Detector Fabrication and Photoconductivity Measurements","Curator-approved photoconductor scope exception. The retained point represents the initial DDT-to-EDT branched-nanorod device; distinct aging, storage, annealing, oxidation, tetrahedron, and alternative-ligand variants are not imported."
kim-2026-mapbi3-strain-device,kim-2026-strain-perovskite,perovskite,photodiode,MAPbI3,MAPbI3,flexible inverted p-i-n self-powered photodiode,PEN / ITO / PEDOT:PSS / MAPbI3 / PCBM / LiF / Ag,0.0314,not_applicable,,,,,,,Weakly p-type MAPbI3 device measured unstrained and under -0.68% compressive strain.
